,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,kampot,40,KH,1573766589,57,10.62,104.18,78.8,6.93
89,hami,0,CN,1573766589,66,42.84,93.51,28.96,2.86
90,grand river south east,90,FR,1573766590,100,48.39,5.49,41.0,3.36
91,dikson,92,RU,1573766590,96,73.51,80.55,0.12,11.23
92,wasilla,90,US,1573766356,55,61.58,-149.44,35.6,10.29
93,atuona,21,PF,1573766590,72,-9.8,-139.03,80.24,13.69
94,shahrud,100,IR,1573766456,82,36.42,54.97,40.35,4.03
95,ouadda,26,CF,1573766592,51,8.07,22.4,72.57,2.01
96,kaoma,7,ZM,1573766593,70,-14.8,24.8,68.7,0.47
97,esperance,90,AU,1573766594,77,-33.86,121.89,59.0,10.29
98,mbanza-ngungu,76,CD,1573766596,90,-5.25,14.87,70.86,1.9
99,karanja,0,IN,1573766596,65,20.48,77.49,65.48,2.71
100,hobart,40,AU,1573766418,40,-42.88,147.33,54.0,21.92
101,oussouye,97,SN,1573766597,69,12.49,-16.54,82.4,4.7
102,polignano a mare,75,IT,1573766597,100,45.04,9.91,52.0,11.41
103,panormos,98,GR,1573766597,74,38.37,22.25,57.0,1.99
104,hambantota,100,LK,1573766598,81,6.12,81.12,80.24,12.41
105,puerto ayora,75,AR,1573766598,48,-51.62,-69.23,64.4,16.11
106,bluff,0,AU,1573766598,75,-23.58,149.07,73.33,8.59
107,bathsheba,40,BB,1573766599,74,13.22,-59.52,84.2,14.99
108,ialibu,97,PG,1573766599,97,-6.28,143.99,61.18,0.87
109,georgetown,75,GY,1573766599,74,6.8,-58.16,86.0,9.17
110,ushuaia,75,AR,1573766509,58,-54.81,-68.31,57.2,16.11
111,pascagoula,90,US,1573766599,66,30.37,-88.56,52.0,9.17
112,bambous virieux,75,MU,1573766600,73,-20.26,57.41,75.2,5.82
113,pevek,100,RU,1573766600,59,69.7,170.27,19.69,10.36
114,vila franca do campo,75,IT,1573766600,93,45.18,8.4,48.99,12.75
115,arraial do cabo,96,BR,1573766600,65,-22.84,-46.65,78.8,12.75
116,itanagar,0,IN,1573766601,71,27.1,93.63,66.52,3.02
117,vrangel,100,RU,1573766601,83,42.73,133.08,28.49,10.69
118,thompson,75,CA,1573766601,60,55.74,-97.86,5.0,16.11
119,krasnoarmeysk,72,RU,1573766601,86,56.12,38.15,37.4,8.95
120,avarua,0,CK,1573766602,78,-21.21,-159.78,80.6,11.41
121,okha,97,RU,1573766602,88,53.59,142.95,11.64,15.08
122,fort nelson,0,IN,1573766523,82,17.96,79.61,68.49,3.11
123,fairbanks,75,US,1573766604,65,64.84,-147.72,10.4,19.46
124,inta,100,RU,1573766611,70,66.04,60.13,11.46,4.27
125,egvekinot,48,RU,1573766611,91,66.32,-179.17,9.68,14.43
126,victoria,75,BN,1573766607,88,5.28,115.24,77.0,3.36
127,cherskiy,100,RU,1573766612,77,68.75,161.3,14.88,5.66
128,burgeo,41,CA,1573766612,49,47.61,-57.61,32.34,6.51
129,bosobolo,100,CD,1573766612,89,4.19,19.88,73.92,0.27
130,coihaique,75,CL,1573766613,59,-45.58,-72.07,60.8,3.36
131,urgut,64,UZ,1573766613,65,39.41,67.25,35.6,1.23
132,banjar,100,ID,1573766615,96,-7.37,108.54,72.21,0.96
133,mtsamboro,75,YT,1573766617,83,-12.7,45.07,82.4,6.93
134,sri aman,100,MA,1573766617,93,30.04,-8.8,55.4,3.36
135,arkadelphia,1,US,1573766459,24,34.12,-93.05,57.2,4.72
136,karwar,34,IN,1573766617,71,14.8,74.13,77.16,6.13
137,port hedland,64,CD,1573766618,66,-7.04,29.76,79.63,9.82
138,mys shmidta,99,RU,1573766619,87,62.06,48.62,33.55,8.52
139,lethem,95,GY,1573766619,37,3.38,-59.8,94.91,10.0
140,riohacha,100,CO,1573766409,85,11.54,-72.91,81.39,8.28
141,esna,90,RO,1573766620,93,45.2,27.57,51.8,18.34
142,codrington,0,AU,1573766620,77,-28.95,153.24,71.01,4.7
143,zyryanovsk,100,KZ,1573766620,70,49.74,84.27,16.86,1.59
144,puerres,75,CO,1573766620,82,0.89,-77.5,57.2,4.7
145,anloga,20,GH,1573766621,78,5.79,0.9,82.4,1.12
146,teya,75,MX,1573766621,62,21.05,-89.07,86.0,4.7
147,ranau,75,MY,1573766622,94,5.95,116.67,77.0,3.36
148,barrow,23,AR,1573766623,41,-38.31,-60.23,70.38,9.17
149,saldanha,91,PT,1573766625,85,41.42,-6.55,38.21,11.5
150,tuktoyaktuk,75,CA,1573766627,83,69.44,-133.03,-7.6,8.05
151,juneau,75,US,1573766627,87,58.3,-134.42,50.0,8.05
152,port augusta,64,CD,1573766628,66,-7.04,29.76,79.63,9.82
153,sao joao da barra,0,IN,1573766628,59,20.51,76.21,65.37,5.77
154,otradnoye,75,RU,1573766628,93,59.77,30.8,50.0,6.71
155,goulburn,71,AU,1573766478,56,-34.75,149.72,62.01,4.0
156,kaitangata,3,NZ,1573766629,67,-46.28,169.85,59.0,5.99
157,lumberton,90,US,1573766629,87,30.27,-94.2,50.0,9.17
158,maravilla,20,EC,1573766629,62,-1.93,-79.53,84.2,9.17
159,ponta do sol,100,BR,1573766629,63,-0.53,-65.05,88.56,1.72
160,xining,69,CN,1573766630,29,36.62,101.77,30.97,4.41
161,timmins,75,CA,1573766548,67,48.48,-81.33,23.0,10.29
162,kharitonovo,100,RU,1573766630,87,61.4,47.5,32.27,9.42
163,bose,90,IT,1573766630,100,45.46,8.01,48.99,10.29
164,sillod,0,IN,1573766630,64,20.3,75.65,66.87,6.08
165,tuatapere,99,NZ,1573766631,58,-46.13,167.69,57.0,11.99
166,evensk,96,RU,1573766631,81,61.92,159.24,22.37,14.74
167,uberlandia,100,BR,1573766631,53,-18.92,-48.28,82.2,6.17
168,guerrero negro,20,AR,1573766631,20,-24.19,-65.45,93.2,8.05
169,namatanai,100,PG,1573766631,76,-3.66,152.44,81.72,3.24
170,shirokiy,31,RU,1573766632,90,53.87,39.17,34.0,3.0
171,hooksett,75,US,1573766632,54,43.1,-71.47,37.99,6.33
172,pitimbu,20,BR,1573766632,78,-7.47,-34.81,78.8,11.41
173,freeport,90,BS,1573766633,78,26.54,-78.7,78.8,12.75
174,morondava,44,MG,1573766633,92,-20.3,44.28,72.84,0.89
175,greensburg,90,US,1573766633,81,30.83,-90.67,51.8,3.36
176,carnarvon,0,ZA,1573766638,31,-30.97,22.13,63.84,15.84
177,kushtagi,0,IN,1573766639,88,15.76,76.19,68.92,4.88
178,geraldton,90,CA,1573766346,85,49.72,-86.95,15.8,10.29
179,turukhansk,98,RU,1573766639,81,65.8,87.96,-17.1,4.05
180,provideniya,40,RU,1573766640,68,64.42,-173.23,24.8,31.32
181,baker city,1,US,1573766640,57,46.37,-104.28,48.2,4.7
182,port lincoln,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
183,iturama,100,BR,1573766484,50,-19.73,-50.2,82.13,9.15
184,boa vista,4,CM,1573766640,89,4.43,8.97,76.75,2.66
185,atar,75,MR,1573766640,11,20.52,-13.05,75.25,3.67
186,thinadhoo,74,MV,1573766641,77,0.53,72.93,82.4,7.54
187,havre-saint-pierre,90,CA,1573766641,67,50.23,-63.6,23.0,5.82
188,kurchum,100,KZ,1573766641,51,48.57,83.65,32.45,6.64
189,gondanglegi,100,ID,1573766641,94,-7.75,112.01,72.54,5.73
190,kondinskoye,93,RU,1573766641,89,59.65,67.41,-3.48,3.8
191,calama,0,CL,1573766642,14,-22.46,-68.93,79.0,27.51
192,ahipara,47,NZ,1573766642,66,-35.17,173.16,61.03,17.6
193,aswan,72,EG,1573766642,32,24.09,32.9,82.4,10.29
194,mecca,0,SA,1573766639,63,21.43,39.83,79.77,3.27
195,paamiut,97,GL,1573766642,96,61.99,-49.67,32.9,42.55
196,tondano,20,ID,1573766643,94,1.3,124.91,73.4,2.24
197,boundiali,60,CI,1573766643,68,9.53,-6.48,78.78,3.36
198,sept-iles,90,CA,1573766643,49,50.2,-66.38,27.0,13.87
199,gao,0,ML,1573766638,11,16.28,-0.04,75.43,5.44
200,beyneu,0,KZ,1573766644,83,45.32,55.19,37.74,11.1
201,bilibino,100,RU,1573766648,81,68.06,166.44,10.36,2.73
202,longyearbyen,20,NO,1573766648,68,78.22,15.63,24.8,16.11
203,saint-francois,90,FR,1573766649,93,46.42,3.91,35.6,3.36
204,bobovdol,90,BG,1573766649,93,42.37,23.02,48.2,3.36
205,connersville,90,US,1573766620,60,39.64,-85.14,43.0,3.36
206,bam,0,IR,1573766650,23,29.11,58.36,43.74,1.48
207,kloulklubed,40,PW,1573766650,94,7.04,134.26,75.2,7.31
208,smithers,75,CA,1573766650,75,54.78,-127.17,42.8,8.05
209,vina del mar,20,HR,1573766650,87,43.18,17.38,46.4,3.36
210,tornio,90,FI,1573766650,86,61.12,27.27,44.01,18.34
211,tual,100,ID,1573766651,74,-5.67,132.75,79.45,7.07
212,vardo,1,US,1573766651,35,39.62,-77.74,43.0,10.29
213,sechura,44,PE,1573766652,91,-5.56,-80.82,65.07,20.11
214,yeppoon,47,AU,1573766652,65,-23.13,150.74,78.8,3.36
215,arlit,0,NE,1573766652,14,18.74,7.39,76.24,7.16
216,bedele,9,ET,1573766652,91,8.46,36.35,59.29,2.57
217,iskateley,100,RU,1573766652,92,67.68,53.15,18.12,17.18
218,upernavik,83,GL,1573766653,76,72.79,-56.15,20.3,2.46
219,rio gallegos,90,US,1573766653,74,41.11,-90.4,33.01,8.05
220,panguna,100,PG,1573766653,82,-6.32,155.48,75.42,2.21
221,trairi,0,BR,1573766544,65,-3.28,-39.27,78.73,5.95
222,kavieng,75,PG,1573766654,70,-2.57,150.8,83.07,2.15
223,heinola,90,FI,1573766659,86,61.2,26.03,41.0,18.34
224,kysyl-syr,100,RU,1573766660,95,63.9,122.77,-16.85,4.07
225,olga,1,US,1573766391,56,34.11,-118.17,78.01,4.74
226,yakeshi,32,CN,1573766661,71,49.28,120.73,-7.73,3.22
227,tongliao,47,CN,1573766661,43,43.61,122.27,14.49,3.71
228,norman wells,1,US,1573766403,37,35.22,-97.44,55.4,11.41
229,pozo colorado,20,CU,1573766662,58,22.45,-80.18,86.0,6.93
230,kovin,90,RS,1573766662,100,44.74,20.98,53.6,3.36
231,hobyo,55,SO,1573766662,80,5.35,48.53,79.38,14.92
232,khasan,62,RU,1573766662,46,42.43,130.64,22.69,3.44
233,vao,90,EE,1573766662,88,59.1,26.19,43.14,7.05
234,saint-philippe,90,CA,1573766663,68,45.36,-73.48,30.0,12.75
235,torbay,40,CA,1573766663,63,47.66,-52.73,30.99,5.82
236,deputatskiy,0,RU,1573766663,97,69.3,139.9,-14.1,1.72
237,ponta delgada,100,BR,1573766664,63,-0.53,-65.05,88.56,1.72
238,tocopilla,0,CL,1573766664,22,-22.09,-70.2,71.22,11.65
239,port hawkesbury,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
240,jalu,0,LY,1573766666,27,29.03,21.55,59.38,6.53
241,black river,90,US,1573766668,87,31.01,-85.74,52.0,8.05
242,gold coast,90,US,1573766668,55,35.79,-81.76,45.0,2.24
243,west linton,1,US,1573766669,35,31.8,-97.09,57.2,9.17
244,brae,4,GB,1573766669,86,60.4,-1.35,41.0,11.41
245,khandyga,100,RU,1573766669,98,62.65,135.58,-9.72,4.05
246,ancud,90,CL,1573766670,100,-41.87,-73.83,55.4,14.99
247,yulara,0,AU,1573766670,10,-25.24,130.99,64.4,8.05
248,dali,0,CN,1573766670,42,34.79,109.94,48.36,4.5
249,polovinnoye,100,RU,1573766670,85,54.79,65.99,11.5,4.34
250,faya,25,SA,1573766671,77,18.39,42.45,62.6,4.7
251,laguna,20,BZ,1573766672,62,16.17,-88.94,87.8,6.93
252,paka,100,CF,1573766672,78,4.15,15.03,73.02,0.72
253,libusin,90,CZ,1573766672,86,50.17,14.05,41.0,11.41
254,bozdar,75,PK,1573766672,82,27.18,68.64,66.2,11.41
255,santa fe,100,PH,1573766673,80,17.49,120.43,70.7,5.32
256,port blair,64,CD,1573766618,66,-7.04,29.76,79.63,9.82
257,maracineni,90,RO,1573766674,93,45.2,26.8,51.8,18.34
258,nouakchott,100,MR,1573766674,38,18.08,-15.98,77.0,11.41
259,asadabad,100,IR,1573766674,51,34.78,48.12,39.2,2.24
260,talnakh,40,RU,1573766676,74,69.49,88.39,-22.0,2.24
261,caravelas,92,BR,1573766678,83,-17.73,-39.27,75.0,8.9
262,namibe,18,AO,1573766678,81,-15.19,12.15,72.39,12.93
263,falam,0,MM,1573766680,94,22.91,93.68,55.71,0.76
264,bada,100,NG,1573766680,63,7.45,3.75,77.34,1.68
265,kununurra,100,AU,1573766559,94,-15.77,128.74,75.2,5.82
266,sisimiut,100,GL,1573766680,84,66.94,-53.67,29.75,1.32
267,sao felix do xingu,0,IN,1573766681,59,20.51,76.21,65.37,5.77
268,margate,40,AU,1573766681,40,-43.03,147.26,54.0,21.92
269,aitape,0,PG,1573766682,85,-3.15,142.36,79.47,9.15
270,kirakira,89,SB,1573766682,81,-10.46,161.92,80.13,5.95
271,roebourne,0,AU,1573766682,27,-20.77,117.15,79.0,19.17
272,sambava,93,MG,1573766682,96,-14.27,50.17,73.92,0.72
273,oron,100,NG,1573766683,94,4.81,8.23,76.42,3.09
274,sovetskiy,91,RU,1573766683,90,56.76,48.47,31.69,13.96
275,diffa,48,NE,1573766683,14,13.32,12.61,84.02,5.66
276,lodja,50,CD,1573766683,90,-3.52,23.6,70.36,1.43
277,kibala,100,TD,1573766684,88,9.11,18.35,77.0,1.3
278,kudahuvadhoo,100,MV,1573766684,75,2.67,72.89,82.53,8.93
279,narsaq,100,GL,1573766684,80,60.91,-46.05,35.6,40.26
280,boyuibe,40,BO,1573766684,54,-20.43,-63.28,82.4,9.26
281,puerto montt,75,AR,1573766688,48,-51.62,-69.23,64.4,16.11
282,hays,1,US,1573766519,40,38.88,-99.33,53.6,5.82
283,weiser,1,US,1573766689,46,44.25,-116.97,54.0,7.36
284,kuching,75,MY,1573766689,94,1.56,110.34,77.0,2.24
285,vilhena,75,BR,1573766690,83,-12.74,-60.15,78.8,8.05
286,lorengau,68,PG,1573766690,75,-2.02,147.27,82.24,7.09
287,almeirim,55,BR,1573766690,42,-1.53,-52.58,90.14,2.51
288,sesheke,97,NA,1573766690,83,-17.47,24.29,77.0,1.12
289,itarema,0,BR,1573766690,71,-2.92,-39.92,79.14,12.59
290,sarangani,15,PH,1573766691,78,5.4,125.46,82.33,13.8
291,leshukonskoye,100,RU,1573766691,97,64.9,45.76,33.37,7.36
292,kapit,100,MY,1573766691,99,2.02,112.94,72.45,0.69
293,pisco,75,PE,1573766691,30,-13.71,-76.2,71.6,6.93
294,kadaya,0,RU,1573766691,69,50.93,119.29,-7.11,1.54
295,luderitz,0,NA,1573766692,68,-26.65,15.16,64.4,12.75
296,bakchar,100,RU,1573766692,87,57.02,82.07,-0.02,8.1
297,belaya gora,0,RU,1573766693,66,51.06,35.71,38.48,12.59
298,souillac,20,FR,1573766693,93,45.6,-0.6,42.01,2.24
299,grenville,90,CA,1573766693,86,45.62,-74.6,28.99,3.36
300,tandalti,94,SD,1573766693,17,13.01,31.87,88.5,8.05
301,khandbari,45,NP,1573766694,66,27.38,87.21,46.6,5.06
302,chumikan,100,RU,1573766694,89,54.72,135.31,-4.14,29.91
303,secunda,67,ZA,1573766694,85,-26.52,29.2,52.0,1.01
304,yerbogachen,74,RU,1573766694,98,61.28,108.01,-25.91,2.53
305,naples,0,IT,1573766395,87,40.84,14.25,62.01,1.12
306,moose factory,1,US,1573766695,39,43.66,-110.72,50.0,4.85
307,vanavara,27,RU,1573766696,93,60.35,102.28,-23.67,4.81
308,poshekhonye,0,RU,1573766699,80,58.5,39.12,36.86,10.02
309,ribeira grande,20,PT,1573766699,70,41.76,-8.56,55.0,9.17
310,effingham,1,US,1573766700,44,39.12,-88.54,42.8,9.17
311,fredericton,90,CA,1573766469,63,45.97,-66.65,26.6,4.7
312,opuwo,94,NA,1573766700,19,-18.06,13.84,75.54,7.36
313,leningradskiy,69,RU,1573766700,84,69.38,178.42,16.79,12.19
314,qaqortoq,100,GL,1573766701,80,60.72,-46.03,35.6,40.26
315,chuy,0,UY,1573766665,76,-33.69,-53.46,68.56,12.64
316,bac lieu,75,RS,1573766701,93,45.39,19.24,48.99,3.36
317,vaitape,0,PF,1573766701,79,-16.52,-151.75,79.65,19.24
318,celestun,41,MX,1573766702,83,20.87,-90.4,78.73,15.48
319,kushchevskaya,0,RU,1573766702,58,46.56,39.64,46.04,23.29
320,hanzhong,0,CN,1573766702,70,33.08,107.03,46.36,1.28
321,nikko,20,JP,1573766702,79,36.75,139.62,39.0,8.01
322,qiqihar,0,CN,1573766702,49,47.35,123.91,9.45,11.41
323,kambi,40,GR,1573766703,93,39.22,20.9,57.2,4.41
324,shingu,0,JP,1573766703,66,33.72,135.99,49.51,7.29
325,imbituba,75,BR,1573766703,100,-28.24,-48.67,69.8,12.75
326,cajazeiras,18,BR,1573766704,25,-6.89,-38.56,86.09,4.45
327,amahai,31,ID,1573766704,70,-3.31,129.0,78.39,7.02
328,alofi,40,NU,1573766704,65,-19.06,-169.92,82.4,4.7
329,kathmandu,20,NP,1573766518,93,27.71,85.32,55.4,2.24
330,tomari,100,RU,1573766783,76,47.76,142.06,20.12,47.33
331,camocim,1,BR,1573766783,67,-2.9,-40.84,80.92,9.42
332,rantauprapat,100,ID,1573766783,98,2.1,99.83,74.12,1.52
333,lamar,1,US,1573766612,40,38.09,-102.62,53.6,4.7
334,vanimo,3,PG,1573766784,79,-2.67,141.3,80.94,5.5
335,macklin,100,CA,1573766785,96,52.34,-109.94,29.66,5.93
336,cabo san lucas,75,ES,1573766785,81,43.18,-5.8,51.01,9.17
337,sheksna,0,RU,1573766785,93,59.21,38.5,35.6,6.71
338,maues,100,BR,1573766786,93,-3.38,-57.72,77.04,4.43
339,lukoyanov,68,RU,1573766786,91,55.03,44.48,31.6,8.43
340,grindavik,99,IS,1573766786,55,63.84,-22.43,33.8,10.29
341,amapa,20,HN,1573766786,62,15.09,-87.97,87.8,9.17
342,buala,100,SB,1573766786,73,-8.15,159.59,82.26,1.81
343,dubti,0,ET,1573766787,47,11.74,41.09,79.0,12.53
344,adre,87,TD,1573766787,15,13.47,22.2,77.45,7.74
345,doha,0,QA,1573766603,50,25.29,51.53,75.2,3.36
346,stroud,90,GB,1573766762,100,51.75,-2.22,41.0,8.05
347,port hardy,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
348,wukari,100,NG,1573766792,64,7.87,9.78,82.72,4.09
349,saint-pierre,90,FR,1573766792,100,48.95,4.24,41.0,6.93
350,zhanakorgan,100,KZ,1573766793,29,43.91,67.25,36.59,2.19
351,bonfim,95,GY,1573766793,37,3.36,-59.84,94.91,10.0
352,sola,96,TZ,1573766793,84,-3.17,33.8,67.6,3.44
353,machakos,75,KE,1573766793,93,-1.52,37.27,64.4,8.05
354,kahului,20,US,1573766557,62,20.89,-156.47,84.2,6.93
355,kruisfontein,0,ZA,1573766794,86,-34.0,24.73,57.78,3.83
356,waingapu,0,ID,1573766794,67,-9.65,120.26,81.79,2.86
357,karangampel,100,ID,1573766794,61,-6.46,108.44,80.53,4.25
358,nadym,99,RU,1573766794,100,65.53,72.51,-11.81,2.77
359,ouallam,0,NE,1573766795,11,14.32,2.08,83.16,6.85
360,coquimbo,40,CL,1573766795,82,-29.95,-71.34,60.8,10.29
361,akhmeta,90,GE,1573766795,70,42.03,45.21,48.2,2.24
362,vallenar,0,CL,1573766795,51,-28.58,-70.76,69.75,8.39
363,kalavad,0,IN,1573766795,36,22.21,70.38,73.0,5.86
364,san patricio,0,ML,1573766796,20,13.3,-4.9,82.11,6.69
365,hailey,5,US,1573766796,40,43.52,-114.32,53.6,5.82
366,pinawa,100,CA,1573766796,80,50.15,-95.88,24.85,12.06
367,mandalgovi,12,MN,1573766796,58,45.76,106.27,16.41,3.76
368,jacareacanga,100,BR,1573766797,83,-6.22,-57.76,78.8,2.24
369,samarai,15,PG,1573766797,88,-10.62,150.67,76.71,2.39
370,saryozek,100,KZ,1573766797,44,44.36,77.98,37.18,5.39
371,port macquarie,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
372,mmabatho,0,ZA,1573766797,30,-25.85,25.61,69.8,5.82
373,kipushi,100,CD,1573766799,76,-11.76,27.24,66.27,4.36
374,yasnyy,100,RU,1573766801,99,64.04,44.09,34.45,9.06
375,pangnirtung,40,CA,1573766802,78,66.15,-65.72,17.6,2.24
376,palmer,90,AU,1573766802,62,-34.85,139.16,61.0,13.87
377,farafangana,99,MG,1573766802,86,-22.82,47.83,78.1,22.88
378,puntarenas,75,CR,1573766802,83,9.98,-84.84,78.01,10.29
379,sibolga,100,ID,1573766803,97,1.74,98.78,71.37,2.55
380,gympie,71,AU,1573766803,91,-26.2,152.66,71.01,1.01
381,savelugu,9,GH,1573766803,40,9.63,-0.83,86.97,1.97
382,arcata,90,US,1573766803,76,40.87,-124.08,57.99,4.56
383,luangwa,100,MZ,1573766803,43,-15.62,30.4,86.36,2.71
384,mehamn,75,NO,1573766804,97,71.03,27.85,33.8,10.29
385,hibbing,90,US,1573766804,49,47.43,-92.94,28.4,8.05
386,kamina,100,CD,1573766804,94,-8.74,25.0,66.65,3.29
387,krasnoyarskiy,46,RU,1573766804,77,51.97,59.9,16.09,11.25
